54;"Laptop HP EliteBook x360 1040 G9 Core i7-1255U 16GB RAM + 512GB SSD 14"" Táctil Win11 Pro Plateado";11755.00;kemik
55;"Apple MacBook Air M2 8GB RAM + 256GB SSD 15"" MacOS Ventura Gris Espacial";11714.00;kemik
56;"Asus TUF Dash F15 Core i7-12650H 16GB RAM + 512GB SSD 15.6"" RTX 3070 8GB Win11 Home Negro";11379.00;kemik
57;"Apple MacBook Air M2 8GB RAM + 256GB SSD 15"" MacOS Ventura Negro";11326.00;kemik
58;"Laptop Dell Latitude 5440 Core i7-1355U 16GB RAM + 512GB SSD 14"" Win11 Pro Gris";11091.00;kemik
59;"Laptop Dell G15 5525 Ryzen 7 6800H + 16GB RAM + 512GB SSD + RTX 3060 6GB 15.6"" Win11 Home Gris";11073.00;kemik
60;Laptop Dell Latitude 5420 i7-1165G7 8GB RAM + 256GB SSD 14″ Plateado Win10 Pro;9858.00;kemik
61;"Laptop HP Victus 16-D0510La i7-11800H 16GB RAM + 512GB SDD + RTX 3060 6GB GDDR6 16.1"" Win11 Home Azul";9776.00;kemik
62;"Laptop Lenovo ThinkPad L15 Gen 3 Core i7-1255U 16GB RAM + 512GB SSD 15.6"" Win11 Pro Negro";9590.00;kemik
63;"Laptop Lenovo ThinkPad L14 Gen 3 Core i7-1255U 16GB RAM + 512GB SSD 14"" Win11 Home Negro";9575.00;kemik
